N,P,K,temperature,humidity,ph,rainfall,label,yield
98.69,30.77,38.19,20.27,92.08,6.37,152.47,rice,3.51
106.94,51.18,41.47,24.27,80.37,6.29,160.72,rice,3.65
103.32,42.42,46.17,26.91,94.24,5.86,182.24,rice,5.49
96.23,52.29,35.19,25.29,86.78,5.98,160.22,rice,4.35
101.5,53.38,47.04,25.56,82.91,6.42,183.87,rice,4.69
89.54,32.04,49.76,24.71,83.37,6.4,229.87,rice,4.46
88.11,52.0,37.05,23.47,89.26,5.9,212.21,rice,3.68
115.31,54.38,42.62,23.54,88.92,5.98,153.3,rice,4.45
93.97,58.09,47.69,23.99,90.86,5.63,153.87,rice,3.42
116.45,47.38,40.24,21.44,83.12,5.56,196.44,rice,5.29
89.94,56.4,43.55,24.96,87.12,5.63,185.35,rice,4.63
99.61,45.35,40.55,26.68,93.55,5.85,175.36,rice,3.22
89.79,39.97,37.92,24.44,84.45,5.82,192.25,rice,5.48
92.23,35.01,36.29,25.06,81.19,6.39,239.74,rice,4.77
82.01,38.07,48.31,24.14,84.3,6.17,238.76,rice,3.91
114.14,59.98,35.49,22.31,81.29,6.21,224.35,rice,5.03
91.38,55.62,37.54,25.17,90.65,6.2,245.34,rice,4.4
113.51,35.38,40.1,22.33,92.59,6.24,194.29,rice,3.99
105.0,57.15,43.39,23.84,88.73,6.04,222.36,rice,3.84
108.75,40.89,45.82,20.37,89.25,6.15,187.71,rice,5.0
114.92,32.85,47.89,25.25,86.34,5.71,215.53,rice,3.53
104.48,44.64,36.45,20.94,84.96,6.43,210.23,rice,5.47
113.18,40.63,46.0,25.85,92.35,5.77,242.75,rice,5.23
88.5,41.25,36.16,20.76,93.71,6.19,209.94,rice,3.24
111.15,57.01,47.6,25.67,87.01,6.0,229.68,rice,5.07
87.83,59.92,50.0,26.14,93.74,5.6,157.44,rice,4.74
105.84,39.14,42.3,26.61,81.85,6.21,198.51,rice,3.14
95.15,42.73,48.03,22.88,91.53,6.43,232.07,rice,3.52
117.36,41.99,40.71,21.61,80.07,5.88,162.57,rice,4.84
110.75,37.82,49.87,21.36,89.73,5.98,152.17,rice,5.45
82.63,59.11,35.97,25.06,94.48,6.03,215.08,rice,5.4
86.23,36.56,36.57,24.52,82.11,6.17,219.91,rice,3.56
105.28,37.76,41.22,21.47,84.0,5.76,152.36,rice,3.38
81.58,32.95,46.74,25.6,86.52,5.9,240.29,rice,3.51
99.8,48.66,42.18,23.04,82.97,5.8,169.49,rice,3.64
114.63,59.81,45.18,23.03,88.02,6.41,203.09,rice,4.03
85.92,50.37,44.87,20.04,84.71,5.94,184.4,rice,4.66
96.52,47.64,46.05,22.78,81.92,5.9,167.04,rice,4.57
109.45,51.89,45.92,21.82,82.38,5.84,177.32,rice,3.53
103.65,59.41,43.87,24.72,82.02,6.32,173.36,rice,4.35
118.96,38.94,43.13,26.96,88.04,6.47,222.49,rice,5.28
105.51,49.32,38.98,24.38,82.75,6.33,153.83,rice,3.76
98.26,43.22,39.82,20.77,92.51,5.77,244.8,rice,4.35
88.7,44.04,36.16,22.87,94.06,6.41,180.0,rice,4.42
82.99,52.96,37.89,22.66,82.27,6.01,156.23,rice,4.07
117.62,31.68,38.34,26.37,91.76,6.32,213.14,rice,5.24
113.55,54.49,47.18,21.16,83.27,6.28,201.95,rice,5.27
83.25,58.32,43.86,25.52,82.36,5.87,180.29,rice,3.19
102.2,36.85,43.95,26.78,90.87,6.25,210.88,rice,4.7
119.98,32.48,44.36,23.21,89.94,5.57,187.74,rice,3.51
85.75,41.61,46.84,20.38,90.45,5.74,204.72,rice,3.37
119.42,44.85,39.52,26.47,89.74,5.66,223.29,rice,3.95
101.7,52.07,48.99,21.7,82.13,5.68,245.55,rice,3.87
92.47,51.57,47.35,24.83,84.41,6.43,241.77,rice,4.81
82.49,32.1,44.45,26.54,89.52,5.52,168.82,rice,5.21
118.61,51.98,43.68,24.27,94.45,6.46,191.16,rice,5.26
98.58,55.97,43.76,26.36,87.6,6.48,156.9,rice,3.88
103.37,52.69,43.4,22.29,85.48,6.48,153.33,rice,3.96
94.34,43.54,48.61,26.49,93.88,6.13,150.2,rice,3.79
